Users,Datasets,Add,Remove,Keep,Tasks
61,birdstrikes1,0.12,0.5,0.38,t2
61,birdstrikes1,0.22,0.15,0.63,t3
61,birdstrikes1,0.08,0.08,0.85,t4
73,birdstrikes1,0.64,0.07,0.29,t1
73,birdstrikes1,0.07,0.02,0.91,t2
73,birdstrikes1,0.33,0.06,0.61,t3
73,birdstrikes1,0.26,0.37,0.37,t4
77,birdstrikes1,0.33,0.0,0.67,t1
77,birdstrikes1,0.17,0.0,0.83,t2
77,birdstrikes1,0.28,0.17,0.56,t3
77,birdstrikes1,0.17,0.17,0.66,t4
81,birdstrikes1,0.25,0.06,0.69,t1
81,birdstrikes1,0.31,0.19,0.5,t2
81,birdstrikes1,0.33,0.0,0.67,t3
81,birdstrikes1,0.43,0.19,0.38,t4
85,birdstrikes1,1.0,0.0,0.0,t1
85,birdstrikes1,1.0,0.0,0.0,t2
85,birdstrikes1,0.54,0.23,0.23,t3
85,birdstrikes1,0.2,0.17,0.63,t4
97,birdstrikes1,1.0,0.0,0.0,t1
97,birdstrikes1,0.06,0.0,0.94,t2
97,birdstrikes1,0.14,0.05,0.82,t3
97,birdstrikes1,0.32,0.16,0.52,t4
1,weather1,0.25,0.31,0.44,t1
1,weather1,0.21,0.08,0.71,t2
1,weather1,0.31,0.31,0.38,t3
1,weather1,0.2,0.09,0.72,t4
5,weather1,0.22,0.19,0.58,t1
5,weather1,0.19,0.0,0.81,t2
5,weather1,0.2,0.0,0.8,t3
5,weather1,0.27,0.14,0.59,t4
113,weather1,0.58,0.33,0.08,t1
113,weather1,0.19,0.19,0.62,t2
113,weather1,0.18,0.18,0.64,t3
113,weather1,0.23,0.05,0.73,t4
117,weather1,0.46,0.08,0.46,t1
117,weather1,0.3,0.05,0.65,t2
117,weather1,0.22,0.07,0.7,t3
117,weather1,0.24,0.14,0.62,t4
21,weather1,0.45,0.09,0.45,t1
21,weather1,0.2,0.0,0.8,t2
21,weather1,0.67,0.0,0.33,t3
21,weather1,0.52,0.29,0.19,t4
25,weather1,0.33,0.0,0.67,t1
25,weather1,0.5,0.0,0.5,t2
25,weather1,0.25,0.0,0.75,t3
25,weather1,0.21,0.12,0.67,t4
29,weather1,0.0,0.0,1.0,t1
29,weather1,0.2,0.0,0.8,t2
29,weather1,0.18,0.05,0.77,t3
29,weather1,0.15,0.0,0.85,t4
41,weather1,0.32,0.25,0.43,t1
41,weather1,0.24,0.06,0.71,t2
41,weather1,0.14,0.14,0.71,t3
41,weather1,0.23,0.1,0.68,t4
45,weather1,0.47,0.41,0.12,t1
45,weather1,0.43,0.14,0.43,t2
45,weather1,1.0,0.0,0.0,t3
45,weather1,0.31,0.18,0.51,t4
53,weather1,0.24,0.24,0.52,t1
53,weather1,0.14,0.07,0.79,t2
53,weather1,0.22,0.04,0.74,t3
53,weather1,0.26,0.18,0.55,t4
65,weather1,0.5,0.12,0.38,t1
65,weather1,0.5,0.0,0.5,t2
65,weather1,0.6,0.2,0.2,t3
65,weather1,0.52,0.0,0.48,t4
69,weather1,0.44,0.22,0.33,t1
69,weather1,0.41,0.27,0.32,t2
69,weather1,0.32,0.32,0.37,t3
69,weather1,0.31,0.29,0.4,t4
73,weather1,0.45,0.05,0.5,t1
73,weather1,0.19,0.07,0.74,t2
73,weather1,0.21,0.0,0.79,t3
73,weather1,0.27,0.09,0.64,t4
77,weather1,1.0,0.0,0.0,t1
77,weather1,0.14,0.0,0.86,t2
77,weather1,0.29,0.18,0.53,t3
77,weather1,0.31,0.0,0.69,t4
93,weather1,0.38,0.06,0.56,t1
93,weather1,0.2,0.07,0.73,t2
93,weather1,0.4,0.2,0.4,t3
93,weather1,0.35,0.22,0.43,t4
97,weather1,0.5,0.0,0.5,t1
97,weather1,0.21,0.0,0.79,t2
97,weather1,0.16,0.06,0.77,t3
97,weather1,0.33,0.17,0.5,t4
9,faa1,0.33,0.11,0.56,t1
9,faa1,0.1,0.0,0.9,t2
9,faa1,0.25,0.0,0.75,t3
9,faa1,0.32,0.22,0.46,t4
109,faa1,0.33,0.24,0.43,t1
109,faa1,0.15,0.0,0.85,t2
109,faa1,0.15,0.12,0.73,t3
109,faa1,0.27,0.15,0.58,t4
13,faa1,0.44,0.39,0.17,t1
13,faa1,0.2,0.0,0.8,t2
13,faa1,0.33,0.22,0.44,t3
13,faa1,0.29,0.0,0.71,t4
21,faa1,0.31,0.08,0.62,t1
21,faa1,0.07,0.0,0.93,t2
21,faa1,0.33,0.11,0.56,t3
21,faa1,0.06,0.0,0.94,t4
33,faa1,0.32,0.11,0.58,t1
33,faa1,0.14,0.05,0.81,t2
33,faa1,0.22,0.0,0.78,t3
33,faa1,0.26,0.23,0.52,t4
37,faa1,0.36,0.14,0.5,t1
37,faa1,0.33,0.17,0.5,t2
37,faa1,0.36,0.23,0.41,t3
37,faa1,0.4,0.28,0.32,t4
41,faa1,0.16,0.0,0.84,t1
41,faa1,0.18,0.0,0.82,t2
41,faa1,0.45,0.18,0.36,t3
41,faa1,0.36,0.0,0.64,t4
45,faa1,0.4,0.33,0.27,t1
45,faa1,0.12,0.0,0.88,t2
45,faa1,0.4,0.0,0.6,t3
45,faa1,0.2,0.0,0.8,t4
57,faa1,0.22,0.0,0.78,t1
57,faa1,0.12,0.0,0.88,t2
57,faa1,0.42,0.17,0.42,t3
57,faa1,0.43,0.26,0.31,t4
65,faa1,0.2,0.0,0.8,t1
65,faa1,0.5,0.0,0.5,t2
65,faa1,0.6,0.0,0.4,t3
65,faa1,0.33,0.0,0.67,t4
69,faa1,0.46,0.32,0.21,t1
69,faa1,0.24,0.18,0.58,t2
69,faa1,0.32,0.23,0.45,t3
69,faa1,0.33,0.26,0.42,t4
81,faa1,0.39,0.06,0.56,t1
81,faa1,1.0,0.0,0.0,t2
81,faa1,0.09,0.0,0.91,t3
81,faa1,0.44,0.22,0.33,t4
85,faa1,0.33,0.17,0.5,t1
85,faa1,0.22,0.0,0.78,t2
85,faa1,0.16,0.11,0.74,t3
85,faa1,0.67,0.17,0.17,t4
89,faa1,0.18,0.32,0.5,t1
89,faa1,0.33,0.0,0.67,t2
89,faa1,0.14,0.0,0.86,t3
89,faa1,0.22,0.16,0.62,t4
93,faa1,0.19,0.38,0.42,t1
93,faa1,0.11,0.05,0.84,t2
93,faa1,0.3,0.0,0.7,t3
93,faa1,0.22,0.11,0.67,t4
