Users,Datasets,Add,Remove,Keep,Tasks,Phase
81,birdstrikes1,4,1,10,t1,First
81,birdstrikes1,0,0,1,t1,Second
81,birdstrikes1,3,1,2,t2,First
81,birdstrikes1,2,2,6,t2,Second
81,birdstrikes1,3,0,4,t3,First
81,birdstrikes1,0,0,2,t3,Second
81,birdstrikes1,6,1,6,t4,First
81,birdstrikes1,3,3,2,t4,Second
85,birdstrikes1,1,0,0,t1,First
85,birdstrikes1,0,0,0,t1,Second
85,birdstrikes1,1,0,0,t2,First
85,birdstrikes1,0,0,0,t2,Second
85,birdstrikes1,5,2,3,t3,First
85,birdstrikes1,2,1,0,t3,Second
85,birdstrikes1,2,2,4,t4,First
85,birdstrikes1,4,3,15,t4,Second
97,birdstrikes1,2,0,0,t1,First
97,birdstrikes1,2,0,0,t1,Second
97,birdstrikes1,2,0,14,t2,First
97,birdstrikes1,0,0,18,t2,Second
97,birdstrikes1,3,1,6,t3,First
97,birdstrikes1,0,0,12,t3,Second
97,birdstrikes1,5,1,5,t4,First
97,birdstrikes1,3,3,8,t4,Second
1,weather1,3,1,5,t1,First
1,weather1,1,4,2,t1,Second
1,weather1,3,0,13,t2,First
1,weather1,2,2,4,t2,Second
1,weather1,2,3,2,t3,First
1,weather1,2,1,3,t3,Second
1,weather1,3,0,19,t4,First
1,weather1,6,4,14,t4,Second
5,weather1,7,7,12,t1,First
5,weather1,1,0,9,t1,Second
5,weather1,3,0,12,t2,First
5,weather1,2,0,10,t2,Second
5,weather1,2,0,4,t3,First
5,weather1,1,0,8,t3,Second
5,weather1,4,1,16,t4,First
5,weather1,6,4,6,t4,Second
113,weather1,1,1,0,t1,First
113,weather1,6,3,1,t1,Second
113,weather1,3,3,4,t2,First
113,weather1,1,1,9,t2,Second
113,weather1,1,0,5,t3,First
113,weather1,3,4,9,t3,Second
113,weather1,4,1,6,t4,First
113,weather1,1,0,10,t4,Second
117,weather1,4,1,5,t1,First
117,weather1,7,1,6,t1,Second
117,weather1,4,0,8,t2,First
117,weather1,2,1,5,t2,Second
117,weather1,4,2,7,t3,First
117,weather1,2,0,12,t3,Second
117,weather1,7,2,9,t4,First
117,weather1,0,2,9,t4,Second
21,weather1,4,0,4,t1,First
21,weather1,1,1,1,t1,Second
21,weather1,3,0,9,t2,First
21,weather1,0,0,3,t2,Second
21,weather1,2,0,0,t3,First
21,weather1,0,0,1,t3,Second
21,weather1,5,2,5,t4,First
21,weather1,17,10,3,t4,Second
25,weather1,2,0,0,t1,First
25,weather1,2,0,8,t1,Second
25,weather1,3,0,2,t2,First
25,weather1,0,0,1,t2,Second
25,weather1,2,0,1,t3,First
25,weather1,1,0,8,t3,Second
25,weather1,5,3,16,t4,First
25,weather1,2,1,6,t4,Second
29,weather1,0,0,1,t1,First
29,weather1,0,0,1,t1,Second
29,weather1,2,0,4,t2,First
29,weather1,0,0,4,t2,Second
29,weather1,4,1,7,t3,First
29,weather1,0,0,10,t3,Second
29,weather1,2,0,14,t4,First
29,weather1,2,0,8,t4,Second
41,weather1,3,1,6,t1,First
41,weather1,6,6,6,t1,Second
41,weather1,4,1,3,t2,First
41,weather1,0,0,9,t2,Second
41,weather1,1,0,8,t3,First
41,weather1,1,2,2,t3,Second
41,weather1,5,3,22,t4,First
41,weather1,4,1,5,t4,Second
45,weather1,5,3,0,t1,First
45,weather1,3,4,2,t1,Second
45,weather1,3,0,2,t2,First
45,weather1,0,1,1,t2,Second
45,weather1,2,0,0,t3,First
45,weather1,0,0,0,t3,Second
45,weather1,8,6,14,t4,First
45,weather1,4,1,6,t4,Second
53,weather1,3,1,6,t1,First
53,weather1,5,7,11,t1,Second
53,weather1,4,2,13,t2,First
53,weather1,0,0,10,t2,Second
53,weather1,5,1,9,t3,First
53,weather1,0,0,8,t3,Second
53,weather1,6,2,10,t4,First
53,weather1,4,5,11,t4,Second
65,weather1,2,1,1,t1,First
65,weather1,2,0,2,t1,Second
65,weather1,2,0,1,t2,First
65,weather1,1,0,2,t2,Second
65,weather1,2,1,1,t3,First
65,weather1,1,0,0,t3,Second
65,weather1,4,0,4,t4,First
65,weather1,8,0,7,t4,Second
69,weather1,7,4,4,t1,First
69,weather1,1,0,2,t1,Second
69,weather1,5,4,1,t2,First
69,weather1,4,2,6,t2,Second
69,weather1,5,3,3,t3,First
69,weather1,1,3,4,t3,Second
69,weather1,6,2,11,t4,First
69,weather1,7,10,6,t4,Second
73,weather1,8,0,7,t1,First
73,weather1,1,1,3,t1,Second
73,weather1,5,0,13,t2,First
73,weather1,0,2,7,t2,Second
73,weather1,3,0,9,t3,First
73,weather1,1,0,6,t3,Second
73,weather1,6,0,9,t4,First
73,weather1,3,3,12,t4,Second
77,weather1,1,0,0,t1,First
77,weather1,0,0,0,t1,Second
77,weather1,2,0,7,t2,First
77,weather1,0,0,5,t2,Second
77,weather1,5,2,8,t3,First
77,weather1,0,1,1,t3,Second
77,weather1,5,0,5,t4,First
77,weather1,0,0,6,t4,Second
93,weather1,4,1,7,t1,First
93,weather1,2,0,2,t1,Second
93,weather1,2,0,4,t2,First
93,weather1,1,1,7,t2,Second
93,weather1,3,1,4,t3,First
93,weather1,3,2,2,t3,Second
93,weather1,3,2,3,t4,First
93,weather1,5,3,7,t4,Second
97,weather1,4,0,2,t1,First
97,weather1,0,0,2,t1,Second
97,weather1,3,0,6,t2,First
97,weather1,0,0,5,t2,Second
97,weather1,5,2,8,t3,First
97,weather1,0,0,16,t3,Second
97,weather1,5,0,8,t4,First
97,weather1,5,5,7,t4,Second
9,faa1,4,2,3,t1,First
9,faa1,2,0,7,t1,Second
9,faa1,3,0,3,t2,First
9,faa1,0,0,25,t2,Second
9,faa1,2,0,3,t3,First
9,faa1,0,0,3,t3,Second
9,faa1,5,4,9,t4,First
9,faa1,8,5,10,t4,Second
109,faa1,4,3,5,t1,First
109,faa1,3,2,4,t1,Second
109,faa1,2,0,3,t2,First
109,faa1,0,0,8,t2,Second
109,faa1,2,1,7,t3,First
109,faa1,2,2,12,t3,Second
109,faa1,7,3,8,t4,First
109,faa1,2,2,11,t4,Second
13,faa1,4,4,2,t1,First
13,faa1,4,3,1,t1,Second
13,faa1,1,0,4,t2,First
13,faa1,1,0,4,t2,Second
13,faa1,1,1,2,t3,First
13,faa1,2,1,2,t3,Second
13,faa1,2,0,0,t4,First
13,faa1,2,0,10,t4,Second
21,faa1,3,0,3,t1,First
21,faa1,1,1,5,t1,Second
21,faa1,1,0,20,t2,First
21,faa1,1,0,6,t2,Second
21,faa1,3,1,2,t3,First
21,faa1,0,0,3,t3,Second
21,faa1,2,0,12,t4,First
21,faa1,0,0,21,t4,Second
33,faa1,6,1,4,t1,First
33,faa1,0,1,7,t1,Second
33,faa1,3,1,10,t2,First
33,faa1,0,0,7,t2,Second
33,faa1,2,0,4,t3,First
33,faa1,0,0,3,t3,Second
33,faa1,4,3,5,t4,First
33,faa1,4,4,11,t4,Second
37,faa1,5,0,3,t1,First
37,faa1,3,3,8,t1,Second
37,faa1,2,1,5,t2,First
37,faa1,2,1,1,t2,Second
37,faa1,5,1,5,t3,First
37,faa1,3,4,4,t3,Second
37,faa1,11,7,6,t4,First
37,faa1,8,6,9,t4,Second
41,faa1,2,0,3,t1,First
41,faa1,1,0,13,t1,Second
41,faa1,2,0,5,t2,First
41,faa1,0,0,4,t2,Second
41,faa1,3,0,2,t3,First
41,faa1,2,2,2,t3,Second
41,faa1,3,0,3,t4,First
41,faa1,1,0,4,t4,Second
45,faa1,3,2,2,t1,First
45,faa1,3,3,2,t1,Second
45,faa1,2,0,8,t2,First
45,faa1,0,0,6,t2,Second
45,faa1,1,0,2,t3,First
45,faa1,1,0,1,t3,Second
45,faa1,2,0,3,t4,First
45,faa1,0,0,5,t4,Second
57,faa1,1,0,0,t1,First
57,faa1,3,0,14,t1,Second
57,faa1,2,0,8,t2,First
57,faa1,0,0,7,t2,Second
57,faa1,4,2,0,t3,First
57,faa1,1,0,5,t3,Second
57,faa1,6,3,2,t4,First
57,faa1,9,6,9,t4,Second
65,faa1,4,0,9,t1,First
65,faa1,0,0,7,t1,Second
65,faa1,1,0,1,t2,First
65,faa1,1,0,1,t2,Second
65,faa1,3,0,2,t3,First
65,faa1,0,0,0,t3,Second
65,faa1,2,0,4,t4,First
65,faa1,0,0,0,t4,Second
69,faa1,7,5,3,t1,First
69,faa1,6,4,3,t1,Second
69,faa1,5,4,12,t2,First
69,faa1,3,2,7,t2,Second
69,faa1,4,4,6,t3,First
69,faa1,6,3,8,t3,Second
69,faa1,12,6,9,t4,First
69,faa1,2,5,9,t4,Second
81,faa1,6,1,5,t1,First
81,faa1,1,0,5,t1,Second
81,faa1,3,0,0,t2,First
81,faa1,0,0,0,t2,Second
81,faa1,2,0,9,t3,First
81,faa1,0,0,12,t3,Second
81,faa1,7,4,4,t4,First
81,faa1,5,2,5,t4,Second
85,faa1,2,1,2,t1,First
85,faa1,0,0,1,t1,Second
85,faa1,2,0,4,t2,First
85,faa1,0,0,3,t2,Second
85,faa1,3,2,6,t3,First
85,faa1,0,0,8,t3,Second
85,faa1,4,1,1,t4,First
85,faa1,0,0,0,t4,Second
89,faa1,3,6,8,t1,First
89,faa1,2,3,6,t1,Second
89,faa1,1,0,1,t2,First
89,faa1,1,0,3,t2,Second
89,faa1,2,0,6,t3,First
89,faa1,0,0,6,t3,Second
89,faa1,7,5,10,t4,First
89,faa1,1,1,13,t4,Second
93,faa1,3,5,3,t1,First
93,faa1,2,5,8,t1,Second
93,faa1,2,1,1,t2,First
93,faa1,0,0,15,t2,Second
93,faa1,2,0,7,t3,First
93,faa1,1,0,0,t3,Second
93,faa1,4,3,3,t4,First
93,faa1,2,0,15,t4,Second
