Users,Datasets,Add,Remove,Keep,Tasks,Phase
77,birdstrikes1,0.33,0.0,0.67,t1,Second
77,birdstrikes1,0.14,0.0,0.86,t2,First
77,birdstrikes1,0.25,0.0,0.75,t2,Second
77,birdstrikes1,0.17,0.11,0.72,t3,First
77,birdstrikes1,0.39,0.22,0.39,t3,Second
77,birdstrikes1,0.17,0.17,0.67,t4,First
77,birdstrikes1,0.17,0.17,0.65,t4,Second
81,birdstrikes1,0.27,0.07,0.67,t1,First
81,birdstrikes1,0.0,0.0,1.0,t1,Second
81,birdstrikes1,0.5,0.17,0.33,t2,First
81,birdstrikes1,0.2,0.2,0.6,t2,Second
81,birdstrikes1,0.43,0.0,0.57,t3,First
81,birdstrikes1,0.0,0.0,1.0,t3,Second
81,birdstrikes1,0.46,0.08,0.46,t4,First
81,birdstrikes1,0.38,0.38,0.25,t4,Second
85,birdstrikes1,0.5,0.2,0.3,t3,First
85,birdstrikes1,0.67,0.33,0.0,t3,Second
85,birdstrikes1,0.25,0.25,0.5,t4,First
85,birdstrikes1,0.18,0.14,0.68,t4,Second
97,birdstrikes1,0.12,0.0,0.88,t2,First
97,birdstrikes1,0.0,0.0,1.0,t2,Second
97,birdstrikes1,0.3,0.1,0.6,t3,First
97,birdstrikes1,0.0,0.0,1.0,t3,Second
97,birdstrikes1,0.45,0.09,0.45,t4,First
97,birdstrikes1,0.21,0.21,0.57,t4,Second
1,weather1,0.33,0.11,0.56,t1,First
1,weather1,0.14,0.57,0.29,t1,Second
1,weather1,0.19,0.0,0.81,t2,First
1,weather1,0.25,0.25,0.5,t2,Second
1,weather1,0.29,0.43,0.29,t3,First
1,weather1,0.33,0.17,0.5,t3,Second
1,weather1,0.14,0.0,0.86,t4,First
1,weather1,0.25,0.17,0.58,t4,Second
5,weather1,0.27,0.27,0.46,t1,First
5,weather1,0.1,0.0,0.9,t1,Second
5,weather1,0.2,0.0,0.8,t2,First
5,weather1,0.17,0.0,0.83,t2,Second
5,weather1,0.33,0.0,0.67,t3,First
5,weather1,0.11,0.0,0.89,t3,Second
5,weather1,0.19,0.05,0.76,t4,First
5,weather1,0.38,0.25,0.38,t4,Second
113,weather1,0.5,0.5,0.0,t1,First
113,weather1,0.6,0.3,0.1,t1,Second
113,weather1,0.3,0.3,0.4,t2,First
113,weather1,0.09,0.09,0.82,t2,Second
113,weather1,0.17,0.0,0.83,t3,First
113,weather1,0.19,0.25,0.56,t3,Second
113,weather1,0.36,0.09,0.55,t4,First
113,weather1,0.09,0.0,0.91,t4,Second
117,weather1,0.4,0.1,0.5,t1,First
117,weather1,0.5,0.07,0.43,t1,Second
117,weather1,0.33,0.0,0.67,t2,First
117,weather1,0.25,0.12,0.62,t2,Second
117,weather1,0.31,0.15,0.54,t3,First
117,weather1,0.14,0.0,0.86,t3,Second
117,weather1,0.39,0.11,0.5,t4,First
117,weather1,0.0,0.18,0.82,t4,Second
21,weather1,0.5,0.0,0.5,t1,First
21,weather1,0.33,0.33,0.33,t1,Second
21,weather1,0.25,0.0,0.75,t2,First
21,weather1,0.0,0.0,1.0,t2,Second
21,weather1,0.42,0.17,0.42,t4,First
21,weather1,0.57,0.33,0.1,t4,Second
25,weather1,1.0,0.0,0.0,t1,First
25,weather1,0.2,0.0,0.8,t1,Second
25,weather1,0.67,0.0,0.33,t3,First
25,weather1,0.11,0.0,0.89,t3,Second
25,weather1,0.21,0.12,0.67,t4,First
25,weather1,0.22,0.11,0.67,t4,Second
29,weather1,0.33,0.0,0.67,t2,First
29,weather1,0.0,0.0,1.0,t2,Second
29,weather1,0.33,0.08,0.58,t3,First
29,weather1,0.0,0.0,1.0,t3,Second
29,weather1,0.12,0.0,0.88,t4,First
29,weather1,0.2,0.0,0.8,t4,Second
41,weather1,0.3,0.1,0.6,t1,First
41,weather1,0.33,0.33,0.33,t1,Second
41,weather1,0.5,0.12,0.38,t2,First
41,weather1,0.0,0.0,1.0,t2,Second
41,weather1,0.11,0.0,0.89,t3,First
41,weather1,0.2,0.4,0.4,t3,Second
41,weather1,0.17,0.1,0.73,t4,First
41,weather1,0.4,0.1,0.5,t4,Second
45,weather1,0.62,0.38,0.0,t1,First
45,weather1,0.33,0.44,0.22,t1,Second
45,weather1,0.29,0.21,0.5,t4,First
45,weather1,0.36,0.09,0.55,t4,Second
53,weather1,0.3,0.1,0.6,t1,First
53,weather1,0.22,0.3,0.48,t1,Second
53,weather1,0.21,0.11,0.68,t2,First
53,weather1,0.0,0.0,1.0,t2,Second
53,weather1,0.33,0.07,0.6,t3,First
53,weather1,0.0,0.0,1.0,t3,Second
53,weather1,0.33,0.11,0.56,t4,First
53,weather1,0.2,0.25,0.55,t4,Second
65,weather1,0.5,0.0,0.5,t4,First
65,weather1,0.53,0.0,0.47,t4,Second
69,weather1,0.47,0.27,0.27,t1,First
69,weather1,0.33,0.0,0.67,t1,Second
69,weather1,0.5,0.4,0.1,t2,First
69,weather1,0.33,0.17,0.5,t2,Second
69,weather1,0.45,0.27,0.27,t3,First
69,weather1,0.12,0.38,0.5,t3,Second
69,weather1,0.32,0.11,0.58,t4,First
69,weather1,0.3,0.43,0.26,t4,Second
73,weather1,0.53,0.0,0.47,t1,First
73,weather1,0.2,0.2,0.6,t1,Second
73,weather1,0.28,0.0,0.72,t2,First
73,weather1,0.0,0.22,0.78,t2,Second
73,weather1,0.25,0.0,0.75,t3,First
73,weather1,0.14,0.0,0.86,t3,Second
73,weather1,0.4,0.0,0.6,t4,First
73,weather1,0.17,0.17,0.67,t4,Second
77,weather1,0.22,0.0,0.78,t2,First
77,weather1,0.0,0.0,1.0,t2,Second
77,weather1,0.33,0.13,0.53,t3,First
77,weather1,0.0,0.5,0.5,t3,Second
77,weather1,0.5,0.0,0.5,t4,First
77,weather1,0.0,0.0,1.0,t4,Second
93,weather1,0.33,0.08,0.58,t1,First
93,weather1,0.5,0.0,0.5,t1,Second
93,weather1,0.33,0.0,0.67,t2,First
93,weather1,0.11,0.11,0.78,t2,Second
93,weather1,0.38,0.12,0.5,t3,First
93,weather1,0.43,0.29,0.29,t3,Second
93,weather1,0.38,0.25,0.38,t4,First
93,weather1,0.33,0.2,0.47,t4,Second
97,weather1,0.33,0.0,0.67,t2,First
97,weather1,0.0,0.0,1.0,t2,Second
97,weather1,0.33,0.13,0.53,t3,First
97,weather1,0.0,0.0,1.0,t3,Second
97,weather1,0.38,0.0,0.62,t4,First
97,weather1,0.29,0.29,0.41,t4,Second
9,faa1,0.44,0.22,0.33,t1,First
9,faa1,0.22,0.0,0.78,t1,Second
9,faa1,0.5,0.0,0.5,t2,First
9,faa1,0.0,0.0,1.0,t2,Second
9,faa1,0.28,0.22,0.5,t4,First
9,faa1,0.35,0.22,0.43,t4,Second
109,faa1,0.33,0.25,0.42,t1,First
109,faa1,0.33,0.22,0.44,t1,Second
109,faa1,0.4,0.0,0.6,t2,First
109,faa1,0.0,0.0,1.0,t2,Second
109,faa1,0.2,0.1,0.7,t3,First
109,faa1,0.12,0.12,0.75,t3,Second
109,faa1,0.39,0.17,0.44,t4,First
109,faa1,0.13,0.13,0.73,t4,Second
13,faa1,0.4,0.4,0.2,t1,First
13,faa1,0.5,0.38,0.12,t1,Second
13,faa1,0.2,0.0,0.8,t2,First
13,faa1,0.2,0.0,0.8,t2,Second
13,faa1,0.25,0.25,0.5,t3,First
13,faa1,0.4,0.2,0.4,t3,Second
13,faa1,1.0,0.0,0.0,t4,First
13,faa1,0.17,0.0,0.83,t4,Second
21,faa1,0.5,0.0,0.5,t1,First
21,faa1,0.14,0.14,0.71,t1,Second
21,faa1,0.05,0.0,0.95,t2,First
21,faa1,0.14,0.0,0.86,t2,Second
21,faa1,0.5,0.17,0.33,t3,First
21,faa1,0.0,0.0,1.0,t3,Second
21,faa1,0.14,0.0,0.86,t4,First
21,faa1,0.0,0.0,1.0,t4,Second
33,faa1,0.55,0.09,0.36,t1,First
33,faa1,0.0,0.12,0.88,t1,Second
33,faa1,0.21,0.07,0.71,t2,First
33,faa1,0.0,0.0,1.0,t2,Second
33,faa1,0.33,0.0,0.67,t3,First
33,faa1,0.0,0.0,1.0,t3,Second
33,faa1,0.33,0.25,0.42,t4,First
33,faa1,0.21,0.21,0.58,t4,Second
37,faa1,0.62,0.0,0.38,t1,First
37,faa1,0.21,0.21,0.57,t1,Second
37,faa1,0.25,0.12,0.62,t2,First
37,faa1,0.5,0.25,0.25,t2,Second
37,faa1,0.45,0.09,0.45,t3,First
37,faa1,0.27,0.36,0.36,t3,Second
37,faa1,0.46,0.29,0.25,t4,First
37,faa1,0.35,0.26,0.39,t4,Second
41,faa1,0.4,0.0,0.6,t1,First
41,faa1,0.07,0.0,0.93,t1,Second
41,faa1,0.29,0.0,0.71,t2,First
41,faa1,0.0,0.0,1.0,t2,Second
41,faa1,0.6,0.0,0.4,t3,First
41,faa1,0.33,0.33,0.33,t3,Second
41,faa1,0.5,0.0,0.5,t4,First
41,faa1,0.2,0.0,0.8,t4,Second
45,faa1,0.43,0.29,0.29,t1,First
45,faa1,0.38,0.38,0.25,t1,Second
45,faa1,0.2,0.0,0.8,t2,First
45,faa1,0.0,0.0,1.0,t2,Second
45,faa1,0.4,0.0,0.6,t4,First
45,faa1,0.0,0.0,1.0,t4,Second
57,faa1,1.0,0.0,0.0,t1,First
57,faa1,0.18,0.0,0.82,t1,Second
57,faa1,0.2,0.0,0.8,t2,First
57,faa1,0.0,0.0,1.0,t2,Second
57,faa1,0.67,0.33,0.0,t3,First
57,faa1,0.17,0.0,0.83,t3,Second
57,faa1,0.55,0.27,0.18,t4,First
57,faa1,0.38,0.25,0.38,t4,Second
65,faa1,0.31,0.0,0.69,t1,First
65,faa1,0.0,0.0,1.0,t1,Second
69,faa1,0.47,0.33,0.2,t1,First
69,faa1,0.46,0.31,0.23,t1,Second
69,faa1,0.24,0.19,0.57,t2,First
69,faa1,0.25,0.17,0.58,t2,Second
69,faa1,0.29,0.29,0.43,t3,First
69,faa1,0.35,0.18,0.47,t3,Second
69,faa1,0.44,0.22,0.33,t4,First
69,faa1,0.12,0.31,0.56,t4,Second
81,faa1,0.5,0.08,0.42,t1,First
81,faa1,0.17,0.0,0.83,t1,Second
81,faa1,0.18,0.0,0.82,t3,First
81,faa1,0.0,0.0,1.0,t3,Second
81,faa1,0.47,0.27,0.27,t4,First
81,faa1,0.42,0.17,0.42,t4,Second
85,faa1,0.33,0.0,0.67,t2,First
85,faa1,0.0,0.0,1.0,t2,Second
85,faa1,0.27,0.18,0.55,t3,First
85,faa1,0.0,0.0,1.0,t3,Second
89,faa1,0.18,0.35,0.47,t1,First
89,faa1,0.18,0.27,0.55,t1,Second
89,faa1,0.25,0.0,0.75,t3,First
89,faa1,0.0,0.0,1.0,t3,Second
89,faa1,0.32,0.23,0.45,t4,First
89,faa1,0.07,0.07,0.87,t4,Second
93,faa1,0.27,0.45,0.27,t1,First
93,faa1,0.13,0.33,0.53,t1,Second
93,faa1,0.5,0.25,0.25,t2,First
93,faa1,0.0,0.0,1.0,t2,Second
93,faa1,0.22,0.0,0.78,t3,First
93,faa1,1.0,0.0,0.0,t3,Second
93,faa1,0.4,0.3,0.3,t4,First
93,faa1,0.12,0.0,0.88,t4,Second
